"github repo","repo description","HN post title","HN url","HN post date","relevancy score","num similar users","total user score","total stars"
stevemao/diff-so-fancy,"diff-so-fancy builds on the good-lookin' output of diff-highlight to upgrade your diffs' appearances","Paul Irish's git-diff script as a standalone package",https://github.com/stevemao/diff-so-fancy,"2016-02-08 18:53:00",4.0756861426385305,112,17.650709862467675,76
dhamaniasad/awesome-postgres,"A curated list of awesome PostgreSQL software, libraries, tools and resources, inspired by awesome-mysql","A list of PostgreSQL libraries, tools and resources",https://github.com/dhamaniasad/awesome-postgres,"2016-02-15 17:32:00",3.857045054162272,187,28.24579939842983,1515
dthree/vantage,"Distributed, realtime CLI for live Node apps.","Vantage: CLI and SSH and REPL for Node",http://github.com/dthree/vantage/#vantage,"2016-02-16 06:13:00",3.1810073440824045,183,25.348384115720652,2889
hyperledger/hyperledger,"Hyperledger Project is a new Collaborative Project at The Linux Foundation. The technical community is just getting started and will be adding code to the repository in the coming weeks. Check hyperledger.org for more information about joining the mailing","Hyperledger on GitHub",https://github.com/hyperledger/hyperledger,"2016-02-16 03:21:00",2.64961939903624,109,15.050295534725914,293
reactjs/redux,"Predictable state container for JavaScript apps","We just moved to the reactjs GitHub org",https://github.com/reactjs/redux/issues/1392,"2016-02-12 19:45:00",2.591738958344063,169,24.727248893211886,13916
gogits/gogs,"Gogs (Go Git Service) is a painless self-hosted Git service.","Self-hosted Git service built on Go",https://github.com/gogits/gogs,"2016-02-21 17:56:00",2.071628393422632,142,19.388409421123246,11603
sindresorhus/ava,"Futuristic test runner :rocket:","Ava: A refined, futuristic test runner",https://github.com/sindresorhus/ava/#,"2016-02-25 20:51:00",2.0345089190815266,110,16.2270566965337,2910
pinterest/teletraan,"Teletraan is Pinterest's deploy system.","Teletraan – Pinterest's deploy system",https://github.com/pinterest/teletraan,"2016-02-16 08:40:00",1.804570310062776,78,12.228683324367639,877
kennethreitz/records,"Records: SQL for Humans™","Records: Python library for making raw SQL queries to Postgres databases",https://github.com/kennethreitz/records,"2016-02-07 08:53:00",1.797479406376432,77,12.576390887972536,1093
amark/gun,"A realtime, decentralized, offline-first, graph database engine.",Graphs,https://github.com/amark/gun/wiki/graphs,"2016-02-18 20:08:00",1.6075549129814404,77,11.772399066231847,1515
heroku/react-refetch,"A simple, declarative, and composable way to fetch data for React components","React Refetch: Declaritive Data Fetching for React Components",https://github.com/heroku/react-refetch,"2016-02-17 20:58:00",1.5997378828188245,73,11.745486270062514,1544
jayphelps/git-blame-someone-else,"Blame someone else for your bad code.","Git-blame-someone-else – Blame someone else for your bad code",https://github.com/jayphelps/git-blame-someone-else,"2016-02-07 07:13:00",1.5321828398792965,70,11.552796999666658,1882
expressjs/express,"Fast, unopinionated, minimalist web framework for node.","Express.js maintainer resigns",https://github.com/expressjs/express/pull/2237#issuecomment-189510525,"2016-02-28 02:45:00",1.484971602494336,113,14.941890067265243,23437
zeithq/micro,"Micro — Async HTTP microservices","Show HN: Micro – async/await HTTP microservices",https://github.com/zeithq/micro?,"2016-02-13 11:25:00",1.4672487496774054,62,9.93443231655945,872
jakiestfu/himawari.js,"Download real-time images of Earth from the Himawari-8 satellite","Script for downloading real-time images of Earth from the Himawari-8 satellite",https://github.com/jakiestfu/himawari.js,"2016-02-14 02:35:00",1.4513060521916312,60,9.645946779427561,770
openpgpjs/openpgpjs,"OpenPGP implementation for JavaScript","OpenPGP.js v2.0.0 released",https://github.com/openpgpjs/openpgpjs/releases/tag/v2.0.0,"2016-02-13 09:37:00",1.4267219309551311,78,10.694054075733723,1800
